股票代码,股票名称,收盘价,昨收价,成交额_元,成交量,涨跌幅_pct,涨跌幅,成交额（亿元）
920000,安徽凤凰,14.62,14.46,31315833.0,2167166.0,1.107,0.01107,0.31315833
920001,纬达光电,11.94,12.01,18304169.0,1535981.0,-0.583,-0.005829999999999999,0.18304169
920002,万达轴承,56.09,57.46,85853601.0,1525763.0,-2.384,-0.02384,0.85853601
920003,中诚咨询,16.81,16.81,3091892.0,184275.0,0.0,0.0,0.03091892
920005,鼎佳精密,25.03,25.38,9125255.0,364286.0,-1.379,-0.01379,0.09125255
920006,晟楠科技,16.95,17.21,35376117.0,2089368.0,-1.511,-0.015109999999999998,0.35376117
920007,酉立智能,37.31,37.74,8601867.0,231010.0,-1.139,-0.01139,0.08601867
920008,成电光信,20.03,20.19,19983406.0,995982.0,-0.792,-0.00792,0.19983406
920009,丹娜生物,36.8,36.09,10994952.0,303197.0,1.967,0.01967,0.10994952
920010,凯添燃气,8.68,8.66,43812221.0,5088122.0,0.231,0.00231,0.43812221
920011,晨光电机,19.51,19.74,14868338.0,763753.0,-1.165,-0.01165,0.14868338
920012,创达新材,47.6,47.69,51170039.0,1077856.0,-0.189,-0.00189,0.51170039
920014,特瑞斯,8.9,8.91,17765021.0,2006110.0,-0.112,-0.0011200000000000001,0.17765021
920015,锦华新材,43.98,43.71,75686230.0,1754600.0,0.618,0.00618,0.7568623
920016,中草香料,12.75,12.75,8559994.0,674655.0,0.0,0.0,0.08559994
920017,星昊医药,16.93,16.99,28068233.0,1662465.0,-0.353,-0.0035299999999999997,0.28068233
920018,宏远股份,16.89,17.35,52457921.0,3102249.0,-2.651,-0.02651,0.52457921
920019,铜冠矿建,14.8,14.68,56095874.0,3711345.0,0.817,0.00817,0.56095874
920020,泰凯英,15.88,15.89,11313460.0,717100.0,-0.063,-0.00063,0.1131346
920021,流金科技,7.58,7.65,182254723.0,24012900.0,-0.915,-0.00915,1.82254723
920022,世昌股份,19.47,19.25,3908050.0,201164.0,1.143,0.011430000000000001,0.0390805
920026,卓兆点胶,18.5,18.05,32029002.0,1722832.0,2.493,0.024929999999999997,0.32029002
920027,交大铁发,11.7,11.38,24063897.0,2051602.0,2.812,0.02812,0.24063897
920028,新恒泰,14.2,14.14,20087466.0,1406412.0,0.424,0.00424,0.20087466
920029,开发科技,34.88,34.42,37792920.0,1089961.0,1.336,0.01336,0.3779292
920030,德众汽车,4.46,4.47,5806249.0,1307201.0,-0.224,-0.0022400000000000002,0.05806249
920033,康普化学,14.71,14.06,28717905.0,1955680.0,4.623,0.04623,0.28717905
920035,精创电气,24.23,24.5,18277632.0,756395.0,-1.102,-0.01102,0.18277632
920036,觅睿科技,32.3,32.99,42580991.0,1314287.0,-2.092,-0.02092,0.42580991
920037,广信科技,41.02,40.6,36492175.0,893652.0,1.034,0.01034,0.36492175
920038,森合高科,47.69,48.31,753777818.0,15062067.0,-1.283,-0.01283,7.53777818
920039,国义招标,8.04,7.99,8645080.0,1083377.0,0.626,0.00626,0.0864508
920045,蘅东光,338.46,323.81,599599862.0,1796332.0,4.524,0.04524,5.99599862
920046,亿能电力,22.54,22.9,116327500.0,5189392.0,-1.572,-0.01572,1.163275
920047,诺思兰德,17.16,17.4,79937995.0,4650772.0,-1.379,-0.01379,0.79937995
920050,爱伦医疗,28.04,27.72,6613123.0,236135.0,1.154,0.01154,0.06613123
920055,隆源股份,27.91,27.46,17198050.0,620053.0,1.639,0.016390000000000002,0.1719805
920056,能之光,16.72,16.66,7914033.0,476693.0,0.36,0.0036,0.07914033
920057,百甲科技,4.92,4.92,3212712.0,655237.0,0.0,0.0,0.03212712
920058,华洋赛车,27.73,27.84,23283378.0,833826.0,-0.395,-0.00395,0.23283378
920060,万源通,22.47,22.41,47655967.0,2119571.0,0.268,0.00268,0.47655967
920061,西磁科技,19.25,17.87,72921607.0,3893364.0,7.722,0.07722000000000001,0.72921607
920062,科润智控,7.69,7.8,22619910.0,2941989.0,-1.41,-0.0141,0.2261991
920065,千岸科技,39.68,40.59,180432450.0,4477341.0,-2.242,-0.02242,1.8043245
920066,科拜尔,16.84,16.95,7186445.0,427850.0,-0.649,-0.00649,0.07186445
920068,天工股份,15.21,15.13,31722982.0,2075713.0,0.529,0.00529,0.31722982
920069,普昂医疗,33.36,34.0,14429132.0,430729.0,-1.882,-0.01882,0.14429132
920072,科莱瑞迪,27.33,28.06,63486840.0,2275639.0,-2.602,-0.026019999999999998,0.6348684
920075,柏星龙,15.66,15.85,15602685.0,997043.0,-1.199,-0.01199,0.15602685
920076,国亮新材,12.74,12.72,7813974.0,613701.0,0.157,0.00157,0.07813974
920077,吉林碳谷,14.56,14.17,84387826.0,5839236.0,2.752,0.02752,0.84387826
920078,族兴新材,20.32,20.05,72701018.0,3507001.0,1.347,0.01347,0.72701018
920079,乔路铭,15.09,15.16,117087125.0,7719135.0,-0.462,-0.00462,1.17087125
920080,奥美森,21.36,21.48,4746830.0,221111.0,-0.559,-0.00559,0.0474683
920081,欧伦电气,41.72,40.99,102946727.0,2482809.0,1.781,0.01781,1.02946727
920082,方正阀门,8.24,8.38,8982863.0,1084441.0,-1.671,-0.01671,0.08982863
920083,金戈新材,34.16,33.86,115588560.0,3342948.0,0.886,0.00886,1.1558856
920086,科马材料,21.21,21.55,13656182.0,642779.0,-1.578,-0.015780000000000002,0.13656182
920087,秋乐种业,11.66,9.92,192439866.0,17737638.0,17.54,0.1754,1.92439866
920088,科力股份,46.22,45.39,309888502.0,6785695.0,1.829,0.01829,3.09888502
920089,禾昌聚合,10.38,10.46,9461657.0,909779.0,-0.765,-0.0076500000000000005,0.09461657
920091,大鹏工业,31.26,31.44,21226350.0,675425.0,-0.573,-0.00573,0.2122635
920092,汉鑫科技,32.5,37.44,294633972.0,8784861.0,-13.194,-0.13194,2.94633972
920096,嘉晨智能,35.99,36.2,48088841.0,1334968.0,-0.58,-0.0058,0.48088841
920098,科隆新材,17.95,17.23,34448031.0,1947783.0,4.179,0.04179,0.34448031
920099,瑞华技术,19.28,19.65,13830171.0,708947.0,-1.883,-0.01883,0.13830171
920100,三协电机,35.9,36.4,79905149.0,2231450.0,-1.374,-0.01374,0.79905149
920101,志高机械,17.08,17.13,6000678.0,351747.0,-0.292,-0.00292,0.06000678
920106,林泰新材,37.51,36.82,30400396.0,804466.0,1.874,0.01874,0.30400396
920108,宏海科技,9.01,9.1,5873890.0,651118.0,-0.989,-0.00989,0.0587389
920110,雷特科技,26.15,25.95,3884388.0,149739.0,0.771,0.00771,0.03884388
920111,聚星科技,27.01,27.03,47571922.0,1756778.0,-0.074,-0.00074,0.47571922
920112,巴兰仕,16.35,16.28,3289841.0,201131.0,0.43,0.0043,0.03289841
920116,星图测控,50.6,49.03,192730870.0,3808815.0,3.202,0.03202,1.9273087
920117,龙鑫智能,33.38,35.17,436942941.0,12264791.0,-5.09,-0.0509,4.36942941
920118,太湖远大,19.7,19.55,19063279.0,967536.0,0.767,0.00767,0.19063279
920119,美德乐,48.98,48.05,19172802.0,394524.0,1.935,0.01935,0.19172802
920121,江天科技,27.84,27.89,5201422.0,186224.0,-0.179,-0.00179,0.05201422
