股票代码,股票名称,上市日期,交易所
920000,安徽凤凰,20201223,bj
920001,纬达光电,20221227,bj
920002,万达轴承,20240530,bj
920003,中诚咨询,20251107,bj
920005,鼎佳精密,20250731,bj
920006,晟楠科技,20230518,bj
920007,酉立智能,20250808,bj
920008,成电光信,20240829,bj
920009,丹娜生物,20251103,bj
920010,凯添燃气,20200727,bj
920011,晨光电机,20260408,bj
920012,创达新材,20260413,bj
920014,特瑞斯,20221213,bj
920015,锦华新材,20250925,bj
920016,中草香料,20240913,bj
920017,星昊医药,20230531,bj
920018,宏远股份,20250820,bj
920019,铜冠矿建,20241011,bj
920020,泰凯英,20251028,bj
920021,流金科技,20200727,bj
920022,世昌股份,20250919,bj
920026,卓兆点胶,20231019,bj
920027,交大铁发,20250610,bj
920028,新恒泰,20260320,bj
920029,开发科技,20250328,bj
920030,德众汽车,20201127,bj
920033,康普化学,20221221,bj
920035,精创电气,20251202,bj
920036,觅睿科技,20260309,bj
920037,广信科技,20250626,bj
920039,国义招标,20210818,bj
920045,蘅东光,20251231,bj
920046,亿能电力,20221013,bj
920047,诺思兰德,20201124,bj
920050,爱伦医疗,20260121,bj
920055,隆源股份,20260331,bj
920056,能之光,20250822,bj
920057,百甲科技,20230314,bj
920058,华洋赛车,20230810,bj
920060,万源通,20241119,bj
920061,西磁科技,20231221,bj
920062,科润智控,20220713,bj
920065,千岸科技,20260729,bj
920066,科拜尔,20241031,bj
920068,天工股份,20250513,bj
920069,普昂医疗,20260327,bj
920072,科莱瑞迪,20260629,bj
920075,柏星龙,20221214,bj
920076,国亮新材,20260122,bj
920077,吉林碳谷,20210831,bj
920078,族兴新材,20260318,bj
920079,乔路铭,20260722,bj
920080,奥美森,20251010,bj
920081,欧伦电气,20260710,bj
920082,方正阀门,20241226,bj
920083,金戈新材,20260611,bj
920086,科马材料,20260116,bj
920087,秋乐种业,20221207,bj
920088,科力股份,20241029,bj
920089,禾昌聚合,20211109,bj
920091,大鹏工业,20251121,bj
920092,汉鑫科技,20211115,bj
920096,嘉晨智能,20260518,bj
920098,科隆新材,20241205,bj
920099,瑞华技术,20240925,bj
920100,三协电机,20250908,bj
920101,志高机械,20250814,bj
920106,林泰新材,20241218,bj
920108,宏海科技,20250206,bj
920110,雷特科技,20221206,bj
920111,聚星科技,20241111,bj
920112,巴兰仕,20250828,bj
920116,星图测控,20250102,bj
920117,龙鑫智能,20260716,bj
920118,太湖远大,20240822,bj
920119,美德乐,20260130,bj
920121,江天科技,20251225,bj
920122,中纺标,20220927,bj
920123,芭薇股份,20240329,bj
920124,南特科技,20251127,bj
920125,鸿仕达,20260424,bj
920126,永大股份,20260615,bj
920128,胜业电气,20241129,bj
920130,立方控股,20231102,bj
920132,泰鹏智能,20231116,bj
920136,永励精密,20260709,bj
920139,华岭股份,20221028,bj
920145,恒合股份,20211115,bj
920146,华阳变速,20210720,bj
920149,旭杰科技,20200727,bj
920152,昆工科技,20220901,bj
920156,海昌智能,20260427,bj
920158,长江能科,20251016,bj
920159,农大科技,20260128,bj
920160,北矿检测,20251118,bj
920161,龙辰科技,20260527,bj
920163,方大新材,20200727,bj
920166,海圣医疗,20260212,bj
920167,同享科技,20200727,bj
920168,通宝光电,20260226,bj
920169,七丰精工,20220415,bj
920171,志晟信息,20211115,bj
920174,五新智能,20210820,bj
920175,东方碳素,20230630,bj
920176,维琪科技,20260727,bj
920177,恒道科技,20260416,bj
920178,锐翔智能,20260515,bj
920179,凯德石英,20220304,bj
920180,爱得科技,20260210,bj
920181,赛英电子,20260410,bj
920183,海菲曼,20260304,bj
920184,国源科技,20200727,bj
920185,贝特瑞,20200727,bj
920186,中科仪,20260429,bj
920187,通领科技,20260305,bj
920188,悦龙科技,20260330,bj
920189,康美特,20260708,bj
920190,雷神科技,20221223,bj
920191,瑞尔竞达,20260420,bj
920193,吉和昌,20260702,bj
920195,三祥科技,20221230,bj
920198,微创光电,20200727,bj
920199,倍益康,20221201,bj
920200,振宏股份,20260507,bj
920204,沪江材料,20220118,bj
920206,彩客科技,20260608,bj
920207,众诚科技,20220923,bj
920208,青矩技术,20230629,bj
920211,新睿电子,20260605,bj
920212,智新电子,20210608,bj
920218,新天力,20260529,bj
920220,朗信电气,20260522,bj
920221,易实精密,20230608,bj
920222,益坤电气,20260630,bj
920223,荣亿精密,20220609,bj
920225,利通科技,20210225,bj
920227,美登科技,20221228,bj
920230,欧康医药,20221209,bj
920237,力佳科技,20221125,bj
920238,长鹰硬科,20260724,bj
920239,长虹能源,20210209,bj
920242,建邦科技,20200727,bj
920245,威博液压,20220106,bj
920247,华密新材,20221223,bj
920249,利尔达,20230217,bj
920252,天宏锂电,20230119,bj
920260,中寰股份,20211115,bj
920261,一诺威,20230403,bj
920262,太湖雪,20221230,bj
920263,中航泰达,20200727,bj
920266,生物谷,20200727,bj
920267,鑫汇科,20220527,bj
920270,天铭科技,20220902,bj
920271,邦德股份,20220602,bj
920273,一致魔芋,20230221,bj
920274,宏裕包材,20230818,bj
920275,驱动力,20210125,bj
920278,鹿得医疗,20200727,bj
920284,灵鸽科技,20231219,bj
920299,灿能电力,20220610,bj
920300,辰光医疗,20221207,bj
920304,迪尔化工,20230418,bj
920339,恒太照明,20221117,bj
920344,三元基因,20210108,bj
920346,威贸电子,20220223,bj
920351,华光源海,20221229,bj
920357,雅葆轩,20221118,bj
920363,莱赛激光,20231228,bj
920367,新赣江,20230209,bj
920368,连城数控,20200727,bj
920370,新安洁,20200727,bj
920371,欧福蛋业,20230118,bj
920374,云里物里,20221129,bj
920375,派诺科技,20231214,bj
920378,泰德股份,20220620,bj
920392,佳合科技,20221230,bj
920394,民士达,20230425,bj
920395,朗鸿科技,20220901,bj
