code,symbol,name,report_date,pre_notice_date,implementation_announcement_date,record_date,ex_date,payment_date,stock_listing_date,cash_before_tax_per_share,cash_after_tax_per_share_raw,stock_dividend_per_share,capitalisation_issue_per_share,plan_status,plan_description,source
sh.601988,601988,中国银行,2010-12-31,2011-03-25,2011-06-03,2011-06-09,2011-06-10,,,0.14600000,,0.00000000,0.00000000,实施分配,"10派1.46元(含税,扣税后1.314元)",akshare_eastmoney
sh.601988,601988,中国银行,2011-12-31,2012-03-30,2012-06-06,2012-06-12,2012-06-13,,,0.15500000,,0.00000000,0.00000000,实施分配,"10派1.55元(含税,扣税后1.395元)",akshare_eastmoney
sh.601988,601988,中国银行,2012-12-31,2013-03-27,2013-06-06,2013-06-17,2013-06-18,,,0.17500000,,,,实施分配,"10派1.75元(含税,扣税后1.575元)",akshare_eastmoney
sh.601988,601988,中国银行,2013-12-31,2014-03-27,2014-06-20,2014-06-26,2014-06-27,,,0.19600000,,,,实施分配,"10派1.96元(含税,扣税后1.764元)",akshare_eastmoney
sh.601988,601988,中国银行,2014-12-31,2015-03-26,2015-06-26,2015-07-02,2015-07-03,,,0.19000000,,,,实施分配,"10派1.90元(含税,扣税后1.71元)",akshare_eastmoney
sh.601988,601988,中国银行,2015-12-31,2016-03-31,2016-06-17,2016-06-23,2016-06-24,,,0.17500000,,,,实施分配,"10派1.75元(含税,扣税后1.575元)",akshare_eastmoney
sh.601988,601988,中国银行,2016-12-31,2017-04-01,2017-07-07,2017-07-13,2017-07-14,,,0.16800000,,,,实施分配,"10派1.68元(含税,扣税后1.512元)",akshare_eastmoney
sh.601988,601988,中国银行,2017-12-31,2018-03-30,2018-07-06,2018-07-12,2018-07-13,,,0.17600000,,,,实施分配,"10派1.76元(含税,扣税后1.584元)",akshare_eastmoney
sh.601988,601988,中国银行,2018-12-31,2019-03-30,2019-05-25,2019-05-31,2019-06-03,,,0.18400000,,,,实施分配,"10派1.84元(含税,扣税后1.656元)",akshare_eastmoney
sh.601988,601988,中国银行,2019-12-31,2020-03-28,2020-07-08,2020-07-14,2020-07-15,,,0.19100000,,,,实施分配,"10派1.91元(含税,扣税后1.719元)",akshare_eastmoney
sh.601988,601988,中国银行,2020-12-31,2021-03-31,2021-05-28,2021-06-03,2021-06-04,,,0.19700000,,,,实施分配,"10派1.97元(含税,扣税后1.773元)",akshare_eastmoney
sh.601988,601988,中国银行,2021-12-31,2022-03-30,2022-07-08,2022-07-14,2022-07-15,,,0.22100000,,,,实施分配,"10派2.21元(含税,扣税后1.989元)",akshare_eastmoney
sh.601988,601988,中国银行,2022-12-31,2023-03-31,2023-07-08,2023-07-14,2023-07-17,,,0.23200000,,,,实施分配,"10派2.32元(含税,扣税后2.088元)",akshare_eastmoney
sh.601988,601988,中国银行,2023-12-31,2024-03-29,2024-07-10,2024-07-16,2024-07-17,,,0.23640000,,,,实施分配,"10派2.364元(含税,扣税后2.1276元)",akshare_eastmoney
sh.601988,601988,中国银行,2024-06-30,2024-08-30,2025-01-15,2025-01-22,2025-01-23,,,0.12080000,,,,实施分配,"10派1.208元(含税,扣税后1.0872元)",akshare_eastmoney
sh.601988,601988,中国银行,2024-12-31,2025-03-27,2025-04-21,2025-04-24,2025-04-25,,,0.12160000,,,,实施分配,"10派1.216元(含税,扣税后1.0944元)",akshare_eastmoney
sh.601988,601988,中国银行,2025-06-30,2025-08-30,2025-12-05,2025-12-10,2025-12-11,,,0.10940000,,,,实施分配,"10派1.094元(含税,扣税后0.9846元)",akshare_eastmoney
sh.601988,601988,中国银行,2025-12-31,2026-03-31,2026-07-06,2026-07-09,2026-07-10,,,0.11690000,,,,实施分配,"10派1.169元(含税,扣税后1.0521元)",akshare_eastmoney
sh.601398,601398,工商银行,2010-12-31,2011-03-31,2011-06-08,2011-06-14,2011-06-15,,,0.18400000,,0.00000000,0.00000000,实施分配,"10派1.84元(含税,扣税后1.656元)",akshare_eastmoney
sh.601398,601398,工商银行,2011-12-31,2012-03-30,2012-06-07,2012-06-13,2012-06-14,,,0.20300000,,0.00000000,0.00000000,实施分配,"10派2.03元(含税,扣税后1.827元)",akshare_eastmoney
sh.601398,601398,工商银行,2012-12-31,2013-03-28,2013-06-19,2013-06-25,2013-06-26,,,0.23900000,,,,实施分配,"10派2.39元(含税,扣税后2.151元)",akshare_eastmoney
sh.601398,601398,工商银行,2013-12-31,2014-03-28,2014-06-13,2014-06-19,2014-06-20,,,0.26170000,,,,实施分配,"10派2.617元(含税,扣税后2.3553元)",akshare_eastmoney
sh.601398,601398,工商银行,2014-12-31,2015-03-27,2015-06-29,2015-07-06,2015-07-07,,,0.25540000,,,,实施分配,"10派2.554元(含税,扣税后2.2986元)",akshare_eastmoney
sh.601398,601398,工商银行,2015-12-31,2016-03-31,2016-07-01,2016-07-07,2016-07-08,,,0.23330000,,,,实施分配,"10派2.333元(含税,扣税后2.0997元)",akshare_eastmoney
sh.601398,601398,工商银行,2016-12-31,2017-03-31,2017-07-04,2017-07-10,2017-07-11,,,0.23430000,,,,实施分配,"10派2.343元(含税,扣税后2.1087元)",akshare_eastmoney
sh.601398,601398,工商银行,2017-12-31,2018-03-28,2018-07-06,2018-07-12,2018-07-13,,,0.24080000,,,,实施分配,"10派2.408元(含税,扣税后2.1672元)",akshare_eastmoney
sh.601398,601398,工商银行,2018-12-31,2019-03-29,2019-06-27,2019-07-02,2019-07-03,,,0.25060000,,,,实施分配,"10派2.506元(含税,扣税后2.2554元)",akshare_eastmoney
sh.601398,601398,工商银行,2019-12-31,2020-03-28,2020-06-20,2020-06-29,2020-06-30,,,0.26280000,,,,实施分配,"10派2.628元(含税,扣税后2.3652元)",akshare_eastmoney
sh.601398,601398,工商银行,2020-12-31,2021-03-27,2021-06-29,2021-07-05,2021-07-06,,,0.26600000,,,,实施分配,"10派2.66元(含税,扣税后2.394元)",akshare_eastmoney
sh.601398,601398,工商银行,2021-12-31,2022-03-31,2022-07-05,2022-07-11,2022-07-12,,,0.29330000,,,,实施分配,"10派2.933元(含税,扣税后2.6397元)",akshare_eastmoney
sh.601398,601398,工商银行,2022-12-31,2023-03-31,2023-07-11,2023-07-14,2023-07-17,,,0.30350000,,,,实施分配,"10派3.035元(含税,扣税后2.7315元)",akshare_eastmoney
sh.601398,601398,工商银行,2023-12-31,2024-03-28,2024-07-09,2024-07-15,2024-07-16,,,0.30640000,,,,实施分配,"10派3.064元(含税,扣税后2.7576元)",akshare_eastmoney
sh.601398,601398,工商银行,2024-06-30,2024-08-31,2024-12-31,2025-01-06,2025-01-07,,,0.14340000,,,,实施分配,"10派1.434元(含税,扣税后1.2906元)",akshare_eastmoney
sh.601398,601398,工商银行,2024-12-31,2025-03-29,2025-07-08,2025-07-11,2025-07-14,,,0.16460000,,,,实施分配,"10派1.646元(含税,扣税后1.4814元)",akshare_eastmoney
sh.601398,601398,工商银行,2025-06-30,2025-08-30,2025-12-09,2025-12-12,2025-12-15,,,0.14140000,,,,实施分配,"10派1.414元(含税,扣税后1.2726元)",akshare_eastmoney
sh.601398,601398,工商银行,2025-12-31,2026-03-28,2026-05-07,2026-05-12,2026-05-13,,,0.16890000,,,,实施分配,"10派1.689元(含税,扣税后1.5201元)",akshare_eastmoney
sh.601939,601939,建设银行,2010-12-31,2011-03-28,2011-06-17,2011-06-23,2011-06-24,,,0.21220000,,,,实施分配,"10派2.122元(含税,扣税后1.9098元)",akshare_eastmoney
sh.601939,601939,建设银行,2011-12-31,2012-03-26,2012-06-18,2012-06-21,2012-06-25,,,0.23650000,,,,实施分配,"10派2.365元(含税,扣税后2.1285元)",akshare_eastmoney
sh.601939,601939,建设银行,2012-12-31,2013-03-25,2013-06-17,2013-06-20,2013-06-21,,,0.26800000,,,,实施分配,"10派2.68元(含税,扣税后2.412元)",akshare_eastmoney
sh.601939,601939,建设银行,2013-12-31,2014-03-31,2014-07-03,2014-07-09,2014-07-10,,,0.30000000,,,,实施分配,"10派3.00元(含税,扣税后2.70元)",akshare_eastmoney
sh.601939,601939,建设银行,2014-12-31,2015-03-28,2015-06-24,2015-06-30,2015-07-01,,,0.30100000,,,,实施分配,"10派3.01元(含税,扣税后2.709元)",akshare_eastmoney
sh.601939,601939,建设银行,2015-12-31,2016-03-31,2016-06-23,2016-06-29,2016-06-30,,,0.27400000,,,,实施分配,"10派2.74元(含税,扣税后2.466元)",akshare_eastmoney
sh.601939,601939,建设银行,2016-12-31,2017-03-30,2017-06-24,2017-06-29,2017-06-30,,,0.27800000,,,,实施分配,"10派2.78元(含税,扣税后2.502元)",akshare_eastmoney
sh.601939,601939,建设银行,2017-12-31,2018-03-28,2018-07-10,2018-07-16,2018-07-17,,,0.29100000,,,,实施分配,"10派2.91元(含税,扣税后2.619元)",akshare_eastmoney
sh.601939,601939,建设银行,2018-12-31,2019-03-28,2019-07-02,2019-07-09,2019-07-10,,,0.30600000,,,,实施分配,"10派3.06元(含税,扣税后2.754元)",akshare_eastmoney
sh.601939,601939,建设银行,2019-12-31,2020-03-30,2020-07-02,2020-07-09,2020-07-10,,,0.32000000,,,,实施分配,"10派3.20元(含税,扣税后2.88元)",akshare_eastmoney
sh.601939,601939,建设银行,2020-12-31,2021-03-27,2021-07-07,2021-07-14,2021-07-15,,,0.32600000,,,,实施分配,"10派3.26元(含税,扣税后2.934元)",akshare_eastmoney
sh.601939,601939,建设银行,2021-12-31,2022-03-30,2022-07-01,2022-07-07,2022-07-08,,,0.36400000,,,,实施分配,"10派3.64元(含税,扣税后3.276元)",akshare_eastmoney
sh.601939,601939,建设银行,2022-12-31,2023-03-30,2023-07-08,2023-07-13,2023-07-14,,,0.38900000,,,,实施分配,"10派3.89元(含税,扣税后3.501元)",akshare_eastmoney
sh.601939,601939,建设银行,2023-12-31,2024-03-29,2024-07-06,2024-07-11,2024-07-12,,,0.40000000,,,,实施分配,"10派4.00元(含税,扣税后3.60元)",akshare_eastmoney
sh.601939,601939,建设银行,2024-06-30,2024-08-31,2025-01-03,2025-01-09,2025-01-10,,,0.19700000,,,,实施分配,"10派1.97元(含税,扣税后1.773元)",akshare_eastmoney
sh.601939,601939,建设银行,2024-12-31,2025-03-29,2025-04-30,2025-05-08,2025-05-09,,,0.20600000,,,,实施分配,"10派2.06元(含税,扣税后1.854元)",akshare_eastmoney
sh.601939,601939,建设银行,2025-06-30,2025-08-30,2025-12-05,2025-12-10,2025-12-11,,,0.18580000,,,,实施分配,"10派1.858元(含税,扣税后1.6722元)",akshare_eastmoney
sh.601939,601939,建设银行,2025-12-31,2026-03-28,2026-07-07,2026-07-10,2026-07-13,,,0.20290000,,,,实施分配,"10派2.029元(含税,扣税后1.8261元)",akshare_eastmoney
