date,sh.000001,sh.601288,sh.601398,sh.601939,sh.601988
2011-01-04,2825.33000000,2.66000000,4.24000000,4.64000000,3.25000000
2011-01-05,2833.12000000,2.65000000,4.22000000,4.64000000,3.25000000
2011-01-06,2838.44000000,2.63000000,4.18000000,4.67000000,3.23000000
2011-01-07,2820.67000000,2.60000000,4.17000000,4.59000000,3.22000000
2011-01-10,2832.62000000,2.64000000,4.26000000,4.71000000,3.25000000
2011-01-11,2783.48000000,2.63000000,4.24000000,4.74000000,3.22000000
2011-01-12,2811.78000000,2.64000000,4.26000000,4.84000000,3.26000000
2011-01-13,2830.53000000,2.66000000,4.30000000,4.86000000,3.27000000
2011-01-14,2817.05000000,2.66000000,4.32000000,4.91000000,3.28000000
2011-01-17,2772.45000000,2.63000000,4.31000000,4.87000000,3.23000000
2011-01-18,2696.15000000,2.59000000,4.21000000,4.71000000,3.19000000
2011-01-19,2707.82000000,2.60000000,4.23000000,4.74000000,3.21000000
2011-01-20,2752.80000000,2.61000000,4.23000000,4.77000000,3.20000000
2011-01-21,2668.68000000,2.58000000,4.15000000,4.66000000,3.17000000
2011-01-24,2716.52000000,2.61000000,4.23000000,4.72000000,3.20000000
2011-01-25,2691.69000000,2.59000000,4.19000000,4.67000000,3.20000000
2011-01-26,2677.17000000,2.60000000,4.19000000,4.66000000,3.23000000
2011-01-27,2690.82000000,2.60000000,4.18000000,4.63000000,3.23000000
2011-01-28,2741.31000000,2.61000000,4.22000000,4.67000000,
2011-01-31,2751.53000000,2.60000000,4.21000000,4.66000000,3.23000000
2011-02-01,2795.07000000,2.61000000,4.24000000,4.78000000,3.24000000
2011-02-09,2778.70000000,2.61000000,4.24000000,4.78000000,3.22000000
2011-02-10,2769.65000000,2.62000000,4.23000000,4.81000000,3.22000000
2011-02-11,2815.12000000,2.61000000,4.27000000,4.85000000,3.24000000
2011-02-14,2828.57000000,2.61000000,4.29000000,4.86000000,3.24000000
2011-02-15,2900.43000000,2.67000000,4.37000000,4.95000000,3.29000000
2011-02-16,2893.68000000,2.66000000,4.33000000,4.92000000,3.28000000
2011-02-17,2929.25000000,2.66000000,4.34000000,4.90000000,3.29000000
2011-02-18,2924.23000000,2.66000000,4.33000000,4.90000000,3.29000000
2011-02-21,2886.54000000,2.64000000,4.30000000,4.87000000,3.26000000
2011-02-22,2941.32000000,2.64000000,4.29000000,4.89000000,3.27000000
2011-02-23,2844.99000000,2.60000000,4.22000000,4.84000000,3.23000000
2011-02-24,2861.39000000,2.60000000,4.22000000,4.83000000,3.23000000
2011-02-25,2876.78000000,2.60000000,4.24000000,4.85000000,3.23000000
2011-02-28,2880.17000000,2.61000000,4.27000000,4.86000000,3.24000000
2011-03-01,2906.28000000,2.61000000,4.26000000,4.84000000,3.24000000
2011-03-02,2905.51000000,,4.25000000,4.83000000,3.24000000
2011-03-03,2918.73000000,2.63000000,4.28000000,4.88000000,3.27000000
2011-03-04,2902.19000000,2.66000000,4.31000000,4.93000000,3.30000000
2011-03-07,2952.72000000,2.68000000,4.35000000,4.97000000,3.32000000
2011-03-08,2996.73000000,2.70000000,4.40000000,4.99000000,3.33000000
2011-03-09,3002.55000000,2.70000000,4.42000000,5.02000000,3.35000000
2011-03-10,2995.77000000,2.69000000,4.41000000,4.98000000,3.40000000
2011-03-11,2942.42000000,2.65000000,4.35000000,4.92000000,3.33000000
2011-03-14,2923.98000000,2.63000000,4.30000000,4.89000000,3.30000000
2011-03-15,2927.98000000,2.63000000,4.28000000,4.86000000,3.27000000
2011-03-16,2894.25000000,2.62000000,4.26000000,4.85000000,3.26000000
2011-03-17,2906.96000000,2.63000000,4.29000000,4.85000000,3.26000000
2011-03-18,2920.81000000,2.63000000,4.28000000,4.90000000,3.26000000
2011-03-21,2913.91000000,2.63000000,4.28000000,4.86000000,3.25000000
