日期,开盘价,最高价,最低价,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-01-05,1314.5020000000,1356.2230000000,1313.9870000000,1356.2230000000,4384398400,83828982000.0000000000,,,同花顺概念指数历史,1.0000000000,2026-01-05,838.2898200000,25346.2636693300,0.0330735066
2026-01-06,1360.2870000000,1364.5630000000,1353.6720000000,1362.6930000000,4131031700,72981030000.0000000000,0.0047706019,,同花顺概念指数历史,0.9702461653,2026-01-06,729.8103000000,27926.6907592800,0.0261330749
2026-01-07,1363.4370000000,1379.4730000000,1363.3920000000,1372.7090000000,3919597400,79004554000.0000000000,0.0073501515,,同花顺概念指数历史,0.9456185119,2026-01-07,790.0455400000,28422.2501593700,0.0277967274
2026-01-08,1374.2110000000,1392.6360000000,1374.2110000000,1387.8610000000,4237186100,78834946000.0000000000,0.0110380277,,同花顺概念指数历史,1.0165863278,2026-01-08,788.3494600000,27874.3138473000,0.0282822912
2026-01-09,1388.2670000000,1416.7300000000,1385.8800000000,1416.0520000000,4915248700,91837428000.0000000000,0.0203125529,,同花顺概念指数历史,1.1384498631,2026-01-09,918.3742800000,31061.8241908800,0.0295660124
2026-01-12,1420.5660000000,1423.5740000000,1407.7140000000,1422.0810000000,5245420700,97994621000.0000000000,0.0042576120,,同花顺概念指数历史,1.1729087851,2026-01-12,979.9462100000,35839.6544211000,0.0273425128
2026-01-13,1433.0410000000,1466.3790000000,1430.9910000000,1445.4310000000,7310007700,136242310000.0000000000,0.0164195992,,同花顺概念指数历史,1.4987030345,2026-01-13,1362.4231000000,36351.1143943600,0.0374795415
2026-01-14,1440.6130000000,1465.5360000000,1423.1610000000,1443.4400000000,7881443100,136555570000.0000000000,-0.0013774438,,同花顺概念指数历史,1.5003579854,2026-01-14,1365.5557000000,39255.9672311600,0.0347859395
2026-01-15,1433.0850000000,1440.3320000000,1417.6360000000,1423.2890000000,4799094200,81984580000.0000000000,-0.0139604002,,同花顺概念指数历史,0.9224409584,2026-01-15,819.8458000000,28898.2939680700,0.0283700415
2026-01-16,1426.4780000000,1428.7210000000,1404.2560000000,1408.8360000000,4268867800,77171890000.0000000000,-0.0101546488,,同花顺概念指数历史,0.8355208419,2026-01-16,771.7189000000,30120.7730228900,0.0256208199
2026-01-19,1405.7810000000,1415.3100000000,1403.5280000000,1411.7270000000,3561474200,67956846000.0000000000,0.0020520486,,同花顺概念指数历史,0.7168072065,2026-01-19,679.5684600000,26937.7465524300,0.0252273685
2026-01-20,1412.2300000000,1414.6200000000,1398.3120000000,1405.9070000000,3733581400,69724968000.0000000000,-0.0041226101,,同花顺概念指数历史,0.7673404552,2026-01-20,697.2496800000,27628.5532820200,0.0252365614
2026-01-21,1400.5360000000,1414.7840000000,1393.5310000000,1407.5900000000,3683301400,65270427000.0000000000,0.0011970920,,同花顺概念指数历史,0.7714260450,2026-01-21,652.7042700000,25872.4621560900,0.0252277602
2026-01-22,1407.6980000000,1410.3050000000,1400.9440000000,1404.2550000000,3536179400,63140024000.0000000000,-0.0023692979,,同花顺概念指数历史,0.7545938424,2026-01-22,631.4002400000,26774.6534883000,0.0235820135
2026-01-23,1410.0400000000,1426.8550000000,1407.8940000000,1426.5360000000,4663925900,80274845000.0000000000,0.0158667763,,同花顺概念指数历史,0.9955618865,2026-01-23,802.7484500000,30694.0882275100,0.0261531942
2026-01-26,1430.6760000000,1444.2180000000,1414.3650000000,1438.5250000000,7096603700,112290307000.0000000000,0.0084042744,,同花顺概念指数历史,1.4676170488,2026-01-26,1122.9030700000,32302.7342411500,0.0347618583
2026-01-27,1437.5700000000,1437.5700000000,1391.4400000000,1417.6180000000,6144630800,95791557000.0000000000,-0.0145336369,,同花顺概念指数历史,1.2508230297,2026-01-27,957.9155700000,28789.7887984200,0.0332727543
2026-01-28,1414.2980000000,1415.3690000000,1392.1120000000,1393.5860000000,4691983200,81157604000.0000000000,-0.0169523807,,同花顺概念指数历史,0.9575044303,2026-01-28,811.5760400000,29475.0839462400,0.0275343080
2026-01-29,1388.1610000000,1398.3810000000,1373.5830000000,1383.2260000000,4331994200,79845671000.0000000000,-0.0074340586,,同花顺概念指数历史,0.8894691416,2026-01-29,798.4567100000,32100.9071567700,0.0248733379
2026-01-30,1382.6630000000,1397.2320000000,1365.9930000000,1374.2540000000,4253929000,73602123000.0000000000,-0.0064862864,,同花顺概念指数历史,0.8790026736,2026-01-30,736.0212300000,28194.9240739400,0.0261047424
2026-02-02,1365.9260000000,1376.9010000000,1341.0650000000,1341.4580000000,3840442600,67414495000.0000000000,-0.0238645840,,同花顺概念指数历史,0.7980476833,2026-02-02,674.1449500000,25696.7233278900,0.0262346659
2026-02-03,1350.4700000000,1362.0610000000,1341.1680000000,1362.0510000000,3029225300,54818192000.0000000000,0.0153512074,,同花顺概念指数历史,0.6367655227,2026-02-03,548.1819200000,25305.8726816300,0.0216622413
2026-02-04,1359.2970000000,1373.5900000000,1355.2020000000,1372.8380000000,3048169500,56390033000.0000000000,0.0079196741,,同花顺概念指数历史,0.6466706082,2026-02-04,563.9003300000,24683.4458016100,0.0228452840
2026-02-05,1371.2620000000,1378.9650000000,1369.8940000000,1372.4750000000,2942018100,58825581000.0000000000,-0.0002644158,,同花顺概念指数历史,0.6328448938,2026-02-05,588.2558100000,21599.2351802600,0.0272350296
2026-02-06,1379.7120000000,1395.9690000000,1379.2890000000,1380.3090000000,4427077700,72646951000.0000000000,0.0057079364,,同花顺概念指数历史,0.9573160039,2026-02-06,726.4695100000,21320.4339350800,0.0340738614
2026-02-09,1385.9830000000,1392.2400000000,1384.5160000000,1390.6980000000,3579421700,59901733000.0000000000,0.0075265756,,同花顺概念指数历史,0.7882159987,2026-02-09,599.0173300000,22369.9597174800,0.0267777563
2026-02-10,1392.0900000000,1409.0670000000,1387.2320000000,1397.5370000000,3437086900,63701125000.0000000000,0.0049176744,,同花顺概念指数历史,0.7905851887,2026-02-10,637.0112500000,20841.3697252100,0.0305647497
2026-02-11,1397.9750000000,1400.6940000000,1389.7400000000,1389.9490000000,2824015200,48976092000.0000000000,-0.0054295521,,同花顺概念指数历史,0.6896839619,2026-02-11,489.7609200000,19696.4378715200,0.0248654565
2026-02-12,1389.5020000000,1389.7650000000,1377.1540000000,1377.4190000000,2881807000,50125065000.0000000000,-0.0090147192,,同花顺概念指数历史,0.7206703383,2026-02-12,501.2506500000,21292.9337721600,0.0235407039
2026-02-13,1377.7810000000,1382.9420000000,1364.8280000000,1365.0020000000,2507973200,43604869000.0000000000,-0.0090146862,,同花顺概念指数历史,0.6413036675,2026-02-13,436.0486900000,19701.8264009100,0.0221323994
2026-02-24,1376.3530000000,1377.2340000000,1367.3170000000,1372.6450000000,2605666100,45548152000.0000000000,0.0055992592,,同花顺概念指数历史,0.6745272423,2026-02-24,455.4815200000,21886.6842943600,0.0208108964
