日期,全部A股成交额_亿元,通信设备成交额_亿元,通信设备换手率,计算机设备成交额_亿元,计算机设备换手率,电子元器件成交额_亿元,电子元器件换手率,半导体成交额_亿元,半导体换手率,通信设备成交额占比,四大科技行业成交额合计_亿元,四大科技行业成交额占比
2026-01-05,25327.41466330,,,,,,,,,,,
2026-01-06,27907.32784275,,,,,,,,,,,
2026-01-07,28409.33262059,,,,,,,,,,,
2026-01-08,27865.54523115,,,,,,,,,,,
2026-01-09,31043.90184504,,,,,,,,,,,
2026-01-12,35830.17296414,,,,,,,,,,,
2026-01-13,36340.92601836,,,,,,,,,,,
2026-01-14,39247.59131711,,,,,,,,,,,
2026-01-15,28881.54531358,,,,,,,,,,,
2026-01-16,30097.79181861,,,,,,,,,,,
2026-01-19,26919.24145859,,,,,,,,,,,
2026-01-20,27613.66118137,,,,,,,,,,,
2026-01-21,25863.65280366,,,,,,,,,,,
2026-01-22,26758.96619698,,,,,,,,,,,
2026-01-23,30679.61590724,,,,,,,,,,,
2026-01-26,32289.32680845,,,,,,,,,,,
2026-01-27,28769.76492692,,,,,,,,,,,
2026-01-28,29461.67064967,,,,,,,,,,,
2026-01-29,32092.10349262,,,,,,,,,,,
2026-01-30,28174.68768656,,,,,,,,,,,
2026-02-02,25690.68565645,,,,,,,,,,,
2026-02-03,25296.65528575,,,,,,,,,,,
2026-02-04,24676.81428353,,,,,,,,,,,
2026-02-05,21595.24198496,,,,,,,,,,,
2026-02-06,21295.59518345,,,,,,,,,,,
2026-02-09,22375.11312375,,,,,,,,,,,
2026-02-10,20845.79061276,,,,,,,,,,,
2026-02-11,19699.89429598,,,,,,,,,,,
2026-02-12,21297.80171151,,,,,,,,,,,
2026-02-13,19706.75952085,,,,,,,,,,,
2026-02-24,21887.12024446,,,,,,,,,,,
2026-02-25,24430.36106500,,,,,,,,,,,
2026-02-26,25223.55973935,,,,,,,,,,,
2026-02-27,24718.17332811,,,,,,,,,,,
2026-03-02,30045.18264897,,,,,,,,,,,
2026-03-03,31113.47911836,,,,,,,,,,,
2026-03-04,23528.37006658,,,,,,,,,,,
2026-03-05,23772.44814567,,,,,,,,,,,
2026-03-06,21846.04631482,,,,,,,,,,,
2026-03-09,26327.59037193,,,,,,,,,,,
2026-03-10,23845.01460969,,,,,,,,,,,
2026-03-11,24934.79240855,,,,,,,,,,,
2026-03-12,24278.41680181,,,,,,,,,,,
2026-03-13,23858.81393427,,,,,,,,,,,
2026-03-16,23119.63278742,,,,,,,,,,,
2026-03-17,21938.09096008,,,,,,,,,,,
2026-03-18,20329.12313218,,,,,,,,,,,
2026-03-19,20972.13648575,,,,,,,,,,,
2026-03-20,22714.99138261,,,,,,,,,,,
2026-03-23,24150.17740111,,,,,,,,,,,
2026-03-24,20676.14434248,,,,,,,,,,,
2026-03-25,21625.29916616,,,,,,,,,,,
2026-03-26,19300.42314938,,,,,,,,,,,
2026-03-27,18391.09370448,,,,,,,,,,,
2026-03-30,19033.80536403,,,,,,,,,,,
2026-03-31,19739.43573996,,,,,,,,,,,
2026-04-01,19966.48384542,,,,,,,,,,,
2026-04-02,18303.68666390,,,,,,,,,,,
2026-04-03,16443.66516840,,,,,,,,,,,
2026-04-07,16045.68256627,,,,,,,,,,,
2026-04-08,24188.13060183,,,,,,,,,,,
2026-04-09,21211.96380693,,,,,,,,,,,
2026-04-10,23049.74957399,,,,,,,,,,,
2026-04-13,21354.51351881,,,,,,,,,,,
2026-04-14,23660.57677170,,,,,,,,,,,
2026-04-15,24000.07490222,,,,,,,,,,,
2026-04-16,23187.34105016,,,,,,,,,,,
2026-04-17,24083.27270185,,,,,,,,,,,
2026-04-20,25646.78840831,,,,,,,,,,,
2026-04-21,23759.30343514,,,,,,,,,,,
2026-04-22,25411.82144349,,,,,,,,,,,
2026-04-23,27853.50699504,,,,,,,,,,,
2026-04-24,26118.09468803,,,,,,,,,,,
2026-04-27,25693.39622534,,,,,,,,,,,
2026-04-28,25155.20934547,,,,,,,,,,,
2026-04-29,25706.76947491,,,,,,,,,,,
2026-04-30,27165.41279971,,,,,,,,,,,
2026-05-06,31998.48033738,,,,,,,,,,,
2026-05-07,31170.71282791,,,,,,,,,,,
2026-05-08,30179.51676510,,,,,,,,,,,
