日期,上证50涨跌幅,Choice微盘股指数涨跌幅,中证全指涨跌幅,上证50成交额_亿元,Choice微盘股指数成交额_亿元,中证全指成交额_亿元,全部A股成交额_亿元,上涨家数,下跌家数,平盘家数,涨停家数,跌停家数,有效股票数,涨跌停状态
2026-01-05,,,,,,,25346.26366933,3837,1064,95,0,0,4996,通过
2026-01-06,,,,,,,27926.69075928,3726,1158,111,0,0,4995,通过
2026-01-07,,,,,,,28422.25015937,2010,2902,85,0,0,4997,通过
2026-01-08,,,,,,,27874.31384730,3426,1457,114,0,0,4997,通过
2026-01-09,,,,,,,31061.82419088,3637,1188,171,0,0,4996,通过
2026-01-12,,,,,,,35839.65442110,3801,1073,122,0,0,4996,通过
2026-01-13,,,,,,,36351.11439436,1462,3438,93,0,0,4993,通过
2026-01-14,,,,,,,39255.96723116,2490,2399,104,0,0,4993,通过
2026-01-15,,,,,,,28898.29396807,2088,2808,98,0,0,4994,通过
2026-01-16,,,,,,,30120.77302289,2172,2724,100,0,0,4996,通过
2026-01-19,,,,,,,26937.74655243,3313,1597,88,0,0,4998,通过
2026-01-20,,,,,,,27628.55328202,2071,2818,113,0,0,5002,通过
2026-01-21,,,,,,,25872.46215609,2867,1975,158,0,0,5000,通过
2026-01-22,,,,,,,26774.65348830,3245,1653,101,0,0,4999,通过
2026-01-23,,,,,,,30694.08822751,3594,1281,125,0,0,5000,通过
2026-01-26,,,,,,,32302.73424115,1465,3448,84,0,0,4997,通过
2026-01-27,,,,,,,28789.78879842,1792,3130,75,0,0,4997,通过
2026-01-28,,,,,,,29475.08394624,1596,3321,79,0,0,4996,通过
2026-01-29,,,,,,,32100.90715677,1672,3233,92,0,0,4997,通过
2026-01-30,,,,,,,28194.92407394,2267,2630,100,0,0,4997,通过
2026-02-02,,,,,,,25696.72332789,690,4277,32,0,0,4999,通过
2026-02-03,,,,,,,25305.87268163,4471,459,69,0,0,4999,通过
2026-02-04,,,,,,,24683.44580161,3045,1890,67,0,0,5002,通过
2026-02-05,,,,,,,21599.23518026,1506,3377,118,0,0,5001,通过
2026-02-06,,,,,,,21320.43393508,2485,2371,145,0,0,5001,通过
2026-02-09,,,,,,,22369.95971748,4263,663,74,0,0,5000,通过
2026-02-10,,,,,,,20841.36972521,2083,2792,127,0,0,5002,通过
2026-02-11,,,,,,,19696.43787152,1906,2944,154,0,0,5004,通过
2026-02-12,,,,,,,21292.93377216,1953,2982,71,0,0,5006,通过
2026-02-13,,,,,,,19701.82640091,1338,3579,87,0,0,5004,通过
2026-02-24,,,,,,,21886.68429436,3644,1294,67,0,0,5005,通过
2026-02-25,,,,,,,24458.60923013,3397,1500,105,0,0,5002,通过
2026-02-26,,,,,,,25237.60970358,2315,2582,105,0,0,5002,通过
2026-02-27,,,,,,,24726.34302023,3043,1839,122,0,0,5004,通过
2026-03-02,,,,,,,30044.00545212,1068,3890,44,0,0,5002,通过
2026-03-03,,,,,,,31113.30031332,537,4447,19,0,0,5003,通过
2026-03-04,,,,,,,23523.66355789,1548,3377,78,0,0,5003,通过
2026-03-05,,,,,,,23768.50690283,3724,1197,83,0,0,5004,通过
2026-03-06,,,,,,,21845.87830814,3933,1017,54,0,0,5004,通过
2026-03-09,,,,,,,26327.08663647,1320,3601,87,0,0,5008,通过
2026-03-10,,,,,,,23842.43804896,4163,763,81,0,0,5007,通过
2026-03-11,,,,,,,24937.74417432,1832,3056,121,0,0,5009,通过
2026-03-12,,,,,,,24280.11128379,1412,3507,90,0,0,5009,通过
2026-03-13,,,,,,,23863.22300896,1370,3507,132,0,0,5009,通过
2026-03-16,,,,,,,23124.67951131,2656,2226,127,0,0,5009,通过
2026-03-17,,,,,,,21942.06499149,777,4163,67,0,0,5007,通过
2026-03-18,,,,,,,20331.75377666,3334,1590,83,0,0,5007,通过
2026-03-19,,,,,,,20971.39221174,460,4529,18,0,0,5007,通过
2026-03-20,,,,,,,22716.32638616,585,4400,23,0,0,5008,通过
2026-03-23,,,,,,,24149.50622379,275,4728,6,0,0,5009,通过
2026-03-24,,,,,,,20679.23925753,4721,270,15,0,0,5006,通过
2026-03-25,,,,,,,21628.25604977,4466,497,43,0,0,5006,通过
2026-03-26,,,,,,,19306.37127482,819,4120,67,0,0,5006,通过
2026-03-27,,,,,,,18400.90275747,4028,919,56,0,0,5003,通过
2026-03-30,,,,,,,19038.67349722,2717,2156,128,0,0,5001,通过
2026-03-31,,,,,,,19741.53916947,865,4060,78,0,0,5003,通过
2026-04-01,,,,,,,19970.17668306,4111,799,96,0,0,5006,通过
2026-04-02,,,,,,,18300.43946156,862,4096,49,0,0,5007,通过
2026-04-03,,,,,,,16442.10470860,670,4316,21,0,0,5007,通过
2026-04-07,,,,,,,16046.02146822,3709,1231,66,0,0,5006,通过
2026-04-08,,,,,,,24188.74046657,4728,266,14,0,0,5008,通过
2026-04-09,,,,,,,21213.32974243,1052,3916,42,0,0,5010,通过
2026-04-10,,,,,,,23055.17132837,3582,1317,112,0,0,5011,通过
2026-04-13,,,,,,,21356.91600255,2191,2677,144,0,0,5012,通过
2026-04-14,,,,,,,23672.14824306,3421,1438,154,0,0,5013,通过
2026-04-15,,,,,,,24008.22290983,1633,3288,91,0,0,5012,通过
2026-04-16,,,,,,,23191.59945687,3946,957,110,0,0,5013,通过
2026-04-17,,,,,,,24084.23098421,2018,2890,108,0,0,5016,通过
2026-04-20,,,,,,,25645.91897428,3114,1741,159,0,0,5014,通过
2026-04-21,,,,,,,23764.10447263,1844,3062,109,0,0,5015,通过
2026-04-22,,,,,,,25420.94503678,2600,2288,125,0,0,5013,通过
2026-04-23,,,,,,,27863.87527749,1261,3665,83,0,0,5009,通过
2026-04-24,,,,,,,26133.26743891,1903,3000,103,0,0,5006,通过
2026-04-27,,,,,,,25709.61755718,3092,1814,94,0,0,5000,通过
2026-04-28,,,,,,,25173.71657723,1591,3292,107,0,0,4990,通过
2026-04-29,,,,,,,25718.93566759,3625,1255,79,0,0,4959,通过
2026-04-30,,,,,,,27174.69760095,2576,2242,113,0,0,4931,通过
2026-05-06,,,,,,,32011.80415513,3570,1262,99,0,0,4931,通过
2026-05-07,,,,,,,31177.54467544,3130,1672,131,0,0,4933,通过
2026-05-08,,,,,,,30182.72914604,3202,1616,115,0,0,4933,通过
2026-05-11,,,,,,,35033.73321717,2905,1908,118,0,0,4931,通过
2026-05-12,,,,,,,32135.79250709,1162,3718,52,0,0,4932,通过
2026-05-13,,,,,,,32106.77687398,2906,1904,127,0,0,4937,通过
2026-05-14,,,,,,,33339.15733989,929,3958,50,0,0,4937,通过
2026-05-15,,,,,,,33122.14538533,1590,3263,85,0,0,4938,通过
2026-05-18,,,,,,,28667.97695363,2235,2597,109,0,0,4941,通过
2026-05-19,,,,,,,28650.58432849,3196,1640,106,0,0,4942,通过
2026-05-20,,,,,,,29273.71639341,1517,3382,48,0,0,4947,通过
2026-05-21,,,,,,,34536.24437392,639,4281,30,0,0,4950,通过
2026-05-22,,,,,,,28757.36948429,3575,1272,104,0,0,4951,通过
2026-05-25,,,,,,,31856.22973525,2029,2835,89,0,0,4953,通过
2026-05-26,,,,,,,32197.91588790,1249,3644,60,0,0,4953,通过
2026-05-27,,,,,,,32061.01904155,869,4050,34,0,0,4953,通过
2026-05-28,,,,,,,29470.03417593,2581,2262,111,0,0,4954,通过
2026-05-29,,,,,,,32974.86713295,1354,3540,60,0,0,4954,通过
2026-06-01,,,,,,,28580.15613745,3329,1587,42,0,0,4958,通过
2026-06-02,,,,,,,27729.14055694,1254,3643,64,0,0,4961,通过
2026-06-03,,,,,,,31067.71521680,1598,3301,66,0,0,4965,通过
2026-06-04,,,,,,,27381.96435820,1258,3664,43,0,0,4965,通过
2026-06-05,,,,,,,30481.60668708,2879,1978,110,0,0,4967,通过
2026-06-08,,,,,,,27734.85120099,621,4331,17,0,0,4969,通过
