日期,行业层级,一级行业代码,一级行业,指数代码,指数名称,收盘价,成交额,日收益率,20日年化波动率
2026-08-11,一级行业,801170,交通运输,801170,交通运输,2060.41000000,221.63498361,-0.01427580,0.16236412
2026-08-11,一级行业,801760,传媒,801760,传媒,708.40000000,505.44428462,-0.00856519,0.42367227
2026-08-11,一级行业,801160,公用事业,801160,公用事业,2517.77000000,487.18459224,0.00271211,0.22107723
2026-08-11,一级行业,801010,农林牧渔,801010,农林牧渔,2463.53000000,176.13376258,-0.01207472,0.24067843
2026-08-11,一级行业,801150,医药生物,801150,医药生物,8197.39000000,1979.55433439,0.00311923,0.37050497
2026-08-11,一级行业,801200,商贸零售,801200,商贸零售,1823.42000000,158.10843046,-0.00411806,0.26151926
2026-08-11,一级行业,801740,国防军工,801740,国防军工,1657.76000000,585.93717686,-0.02376746,0.35100818
2026-08-11,一级行业,801030,基础化工,801030,基础化工,4395.18000000,1156.20284832,-0.01569009,0.29548163
2026-08-11,一级行业,801110,家用电器,801110,家用电器,8716.87000000,189.72288276,0.00196096,0.14943097
2026-08-11,一级行业,801710,建筑材料,801710,建筑材料,6142.79000000,355.64416517,-0.00822925,0.51913471
2026-08-11,一级行业,801720,建筑装饰,801720,建筑装饰,1960.57000000,273.61491115,-0.00062698,0.19756917
2026-08-11,一级行业,801180,房地产,801180,房地产,1897.89000000,127.17368381,-0.00007903,0.24658231
2026-08-11,一级行业,801050,有色金属,801050,有色金属,8494.67000000,2039.46123589,-0.04422071,0.47793507
2026-08-11,一级行业,801890,机械设备,801890,机械设备,2242.32000000,1548.80604062,-0.00567597,0.49620109
2026-08-11,一级行业,801880,汽车,801880,汽车,6584.58000000,582.94035406,-0.00605012,0.25787522
2026-08-11,一级行业,801950,煤炭,801950,煤炭,3295.13000000,135.77681437,-0.00227998,0.34667905
2026-08-11,一级行业,801970,环保,801970,环保,1938.18000000,160.98944190,-0.00690185,0.29853984
2026-08-11,一级行业,801730,电力设备,801730,电力设备,9559.74000000,1671.77526072,-0.00204607,0.34713393
2026-08-11,一级行业,801080,电子,801080,电子,8853.93000000,6316.79611857,-0.00873715,0.76269469
2026-08-11,一级行业,801960,石油石化,801960,石油石化,2692.38000000,202.20693561,0.00499440,0.29284214
2026-08-11,一级行业,801210,社会服务,801210,社会服务,7306.80000000,103.74761206,-0.01210465,0.30069639
2026-08-11,一级行业,801130,纺织服饰,801130,纺织服饰,1561.69000000,126.23976746,0.00114109,0.27073592
2026-08-11,一级行业,801230,综合,801230,综合,4207.05000000,27.27338613,-0.00683662,0.54416316
2026-08-11,一级行业,801980,美容护理,801980,美容护理,3559.63000000,36.85913252,-0.00895375,0.30923169
