日期,当日排名,股票代码,股票名称,收盘价,昨收价,成交额_元,成交量,涨跌幅_pct,涨跌幅,成交额（亿元）
2026-08-06,1,300308,中际旭创,955.0,947.74,39767147899.0,42295059.0,0.766,0.00766,397.67147899
2026-08-06,2,688825,长鑫科技,51.96,54.3,29151895973.0,560574859.0,-4.309,-0.04309,291.51895973
2026-08-06,3,603986,兆易创新,385.0,385.44,23396310414.0,61861191.0,-0.114,-0.00114,233.96310414
2026-08-06,4,300502,新易盛,421.87,424.3,21552830074.0,51445777.0,-0.573,-0.00573,215.52830074
2026-08-06,5,300476,胜宏科技,250.15,236.35,18012250100.0,72413948.0,5.839,0.058390000000000004,180.122501
2026-08-06,6,300750,宁德时代,388.0,405.2,17750194541.0,45320103.0,-4.245,-0.04245,177.50194541
2026-08-06,7,600584,长电科技,75.87,68.97,17259959743.0,235907084.0,10.004,0.10003999999999999,172.59959743
2026-08-06,8,601138,工业富联,68.27,65.92,16718421116.0,246661513.0,3.565,0.03565,167.18421116
2026-08-06,9,002384,东山精密,187.68,188.83,16095175805.0,85929115.0,-0.609,-0.00609,160.95175805
2026-08-06,10,600487,亨通光电,56.15,54.41,16026986041.0,288933861.0,3.198,0.03198,160.26986041
2026-08-06,11,300394,天孚通信,225.28,216.85,14710774339.0,67750080.0,3.887,0.03887,147.10774339
2026-08-06,12,000938,紫光股份,37.94,36.94,14668206633.0,393913850.0,2.707,0.027069999999999997,146.68206633
2026-08-06,13,688256,寒武纪,1168.15,1136.9,14303868410.0,12478455.0,2.749,0.02749,143.0386841
2026-08-06,14,601899,紫金矿业,34.5,34.1,14063625579.0,402667434.0,1.173,0.01173,140.63625579
2026-08-06,15,600176,中国巨石,40.78,39.28,13376976141.0,332870547.0,3.819,0.03819,133.76976141
2026-08-06,16,300285,国瓷材料,69.53,67.27,12489987429.0,185624531.0,3.36,0.0336,124.89987429
2026-08-06,17,000636,风华高科,58.28,57.8,12228600135.0,214586199.0,0.83,0.0083,122.28600135
2026-08-06,18,603259,药明康德,142.7,147.5,11197821427.0,77509417.0,-3.254,-0.03254,111.97821427
2026-08-06,19,000725,京东方Ａ,5.96,5.97,11084502000.0,1871411278.0,-0.168,-0.00168,110.84502
2026-08-06,20,688012,中微公司,361.59,358.0,10610439299.0,29424121.0,1.003,0.010029999999999999,106.10439299
2026-08-06,21,000657,中钨高新,62.5,57.43,10522454712.0,171501560.0,8.828,0.08828,105.22454712
