year,strategy_return,bank_buy_hold_return,index_price_return
2011,-0.0142297314,0.0037392399,-0.2289905877
2012,0.0084972697,0.0635391618,0.0316947195
2013,-0.0301927040,-0.0513253670,-0.0674928276
2014,0.0282160959,0.5052937947,0.5286911975
2015,0.0809817907,-0.0400743699,0.0941360506
2016,-0.1034908035,-0.0182746895,-0.1230624043
2017,0.1669045823,0.2734801984,0.0655778376
2018,-0.1608180678,-0.0618979121,-0.2459111567
2019,0.0417154800,0.0916667891,0.2230321986
2020,-0.0613843527,-0.0693493562,0.1386666754
2021,0.0211164665,-0.0039231528,0.0480007601
2022,-0.0316204917,0.0284769056,-0.1512508998
2023,0.1052234455,0.1585112010,-0.0370088630
2024,0.2463113275,0.2921869879,0.1266685267
2025,-0.0003208547,0.1651531791,0.1841062606
2026,0.2071619829,0.0263811802,-0.0344130779
