date,code,name,shares_before,cash_per_share_before_tax,dividend_tax_rate,cash_credit,stock_dividend_ratio,capitalisation_ratio,bonus_shares,shares_after
2011-06-10,sh.601988,中国银行,76000.0,0.146,0.0,11096.0,0.0,0.0,0.0,76000.0
2011-06-15,sh.601398,工商银行,56900.0,0.184,0.0,10469.6,0.0,0.0,0.0,56900.0
2011-06-17,sh.601288,农业银行,89000.0,0.054,0.0,4806.0,0.0,0.0,0.0,89000.0
2011-06-24,sh.601939,建设银行,49800.0,0.2122,0.0,10567.56,0.0,0.0,0.0,49800.0
2013-06-18,sh.601988,中国银行,82900.0,0.175,0.0,14507.499999999998,0.0,0.0,0.0,82900.0
2013-06-21,sh.601939,建设银行,51000.0,0.268,0.0,13668.0,0.0,0.0,0.0,51000.0
2013-06-26,sh.601398,工商银行,58100.0,0.239,0.0,13885.9,0.0,0.0,0.0,58100.0
2013-06-28,sh.601288,农业银行,89600.0,0.1565,0.0,14022.4,0.0,0.0,0.0,89600.0
2014-06-27,sh.601988,中国银行,90500.0,0.196,0.0,17738.0,0.0,0.0,0.0,90500.0
2015-07-01,sh.601939,建设银行,38400.0,0.301,0.0,11558.4,0.0,0.0,0.0,38400.0
2015-07-03,sh.601988,中国银行,54500.0,0.19,0.0,10355.0,0.0,0.0,0.0,54500.0
2015-07-07,sh.601398,工商银行,50200.0,0.2554,0.0,12821.08,0.0,0.0,0.0,50200.0
2015-07-10,sh.601288,农业银行,68900.0,0.182,0.0,12539.8,0.0,0.0,0.0,68900.0
2018-07-13,sh.601398,工商银行,39700.0,0.2408,0.0,9559.76,0.0,0.0,0.0,39700.0
2018-07-13,sh.601988,中国银行,60000.0,0.176,0.0,10560.0,0.0,0.0,0.0,60000.0
2018-07-17,sh.601939,建设银行,31400.0,0.291,0.0,9137.4,0.0,0.0,0.0,31400.0
2019-06-03,sh.601988,中国银行,61100.0,0.184,0.0,11242.4,0.0,0.0,0.0,61100.0
2019-07-10,sh.601939,建设银行,32100.0,0.306,0.0,9822.6,0.0,0.0,0.0,32100.0
2021-06-17,sh.601288,农业银行,73700.0,0.1851,0.0,13641.869999999999,0.0,0.0,0.0,73700.0
2021-07-06,sh.601398,工商银行,46300.0,0.266,0.0,12315.800000000001,0.0,0.0,0.0,46300.0
2022-07-15,sh.601288,农业银行,78600.0,0.2068,0.0,16254.480000000001,0.0,0.0,0.0,78600.0
2022-07-15,sh.601988,中国银行,71700.0,0.221,0.0,15845.7,0.0,0.0,0.0,71700.0
2023-07-14,sh.601939,建设银行,38800.0,0.389,0.0,15093.2,0.0,0.0,0.0,38800.0
2024-06-07,sh.601288,农业银行,59300.0,0.2309,0.0,13692.369999999999,0.0,0.0,0.0,59300.0
2024-07-12,sh.601939,建设银行,36700.0,0.4,0.0,14680.0,0.0,0.0,0.0,36700.0
2024-07-16,sh.601398,工商银行,47500.0,0.3064,0.0,14554.0,0.0,0.0,0.0,47500.0
2025-01-07,sh.601398,工商银行,45300.0,0.1434,0.0,6496.02,0.0,0.0,0.0,45300.0
2025-01-08,sh.601288,农业银行,58600.0,0.1164,0.0,6821.04,0.0,0.0,0.0,58600.0
2025-01-10,sh.601939,建设银行,35600.0,0.197,0.0,7013.200000000001,0.0,0.0,0.0,35600.0
2025-01-23,sh.601988,中国银行,56800.0,0.1208,0.0,6861.4400000000005,0.0,0.0,0.0,56800.0
2025-12-11,sh.601939,建设银行,34200.0,0.1858,0.0,6354.36,0.0,0.0,0.0,34200.0
2025-12-11,sh.601988,中国银行,54800.0,0.1094,0.0,5995.12,0.0,0.0,0.0,54800.0
2025-12-15,sh.601288,农业银行,39700.0,0.1195,0.0,4744.15,0.0,0.0,0.0,39700.0
2025-12-15,sh.601398,工商银行,39500.0,0.1414,0.0,5585.3,0.0,0.0,0.0,39500.0
2026-07-10,sh.601988,中国银行,59400.0,0.1169,0.0,6943.860000000001,0.0,0.0,0.0,59400.0
2026-07-13,sh.601939,建设银行,34700.0,0.2029,0.0,7040.63,0.0,0.0,0.0,34700.0
