date,cash,position_value,equity,invested,shares_sh.601988,shares_sh.601398,shares_sh.601939,shares_sh.601288,daily_return,running_peak,drawdown,bank_buy_hold_equity,index_price_equity
2011-01-04,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,1002484.2799000000,1000000.0000000000
2011-01-05,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,992938.2799000000,995071.2495399015
2011-01-06,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,984758.2799000000,990026.8171699998
2011-01-07,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,1008675.2799000000,995144.8653006853
2011-01-10,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,1002339.2799000000,978672.4624471982
2011-01-11,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,1008821.2799000000,982963.2096471702
2011-01-12,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,1015481.2799000000,989010.2185686992
2011-01-13,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,1023900.2799000000,991257.2520288153
2011-01-14,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,1019766.2799000000,978507.7033635392
2011-01-17,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,992459.2799000000,948823.0242055632
2011-01-18,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,997548.2799000000,949636.3030866036
2011-01-19,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,998334.2799000000,966855.3800851839
2011-01-20,1000000.0000000000,0.0000000000,1000000.0000000000,False,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000.0000000000,0.0000000000,981811.2799000000,938653.5326801395
