signal_date,signal,portfolio_invested,status,execution_date
2011-03-15,entry,False,scheduled,2011-03-16
2011-03-16,exit,True,scheduled,2011-03-17
2011-03-17,entry,False,scheduled,2011-03-18
2011-03-23,exit,True,scheduled,2011-03-24
2011-03-31,entry,False,scheduled,2011-04-01
2011-04-01,exit,True,scheduled,2011-04-06
2011-04-25,entry,False,scheduled,2011-04-26
2011-06-24,exit,True,scheduled,2011-06-27
2011-07-21,entry,False,scheduled,2011-07-22
2011-08-25,exit,True,scheduled,2011-08-26
2011-08-29,entry,False,scheduled,2011-08-30
2011-10-13,exit,True,scheduled,2011-10-14
2011-10-18,entry,False,scheduled,2011-10-19
2011-10-25,exit,True,scheduled,2011-10-26
2011-11-17,entry,False,scheduled,2011-11-18
2012-01-09,exit,True,scheduled,2012-01-10
2012-01-16,entry,False,scheduled,2012-01-17
2012-01-17,exit,True,scheduled,2012-01-18
2012-03-07,entry,False,scheduled,2012-03-08
2012-03-08,exit,True,scheduled,2012-03-09
2012-03-14,entry,False,scheduled,2012-03-15
2012-04-12,exit,True,scheduled,2012-04-13
2012-04-17,entry,False,scheduled,2012-04-18
2012-04-18,exit,True,scheduled,2012-04-19
2012-05-11,entry,False,scheduled,2012-05-14
2012-05-29,exit,True,scheduled,2012-06-01
2012-05-30,entry,True,ignored,
2012-08-06,exit,False,ignored,
2012-08-13,entry,False,scheduled,2012-08-14
2012-09-07,exit,True,scheduled,2012-09-10
2012-09-17,entry,False,scheduled,2012-09-18
2012-09-28,exit,True,scheduled,2012-10-08
2012-10-26,entry,False,scheduled,2012-10-29
2012-11-01,exit,True,scheduled,2012-11-02
2012-11-08,entry,False,scheduled,2012-11-09
2012-12-05,exit,True,scheduled,2012-12-06
2013-02-21,entry,False,scheduled,2013-02-22
2013-03-20,exit,True,scheduled,2013-03-21
2013-03-26,entry,False,scheduled,2013-03-27
2013-04-19,exit,True,scheduled,2013-04-22
2013-04-23,entry,False,scheduled,2013-04-24
2013-05-06,exit,True,scheduled,2013-05-07
2013-06-04,entry,False,scheduled,2013-06-05
2013-07-11,exit,True,scheduled,2013-07-12
2013-07-19,entry,False,scheduled,2013-07-22
2013-07-22,exit,True,scheduled,2013-07-23
2013-07-26,entry,False,scheduled,2013-07-29
2013-08-01,exit,True,scheduled,2013-08-02
2013-09-26,entry,False,scheduled,2013-09-27
2013-10-08,exit,True,scheduled,2013-10-09
2013-10-10,entry,False,scheduled,2013-10-11
2013-10-11,exit,True,scheduled,2013-10-14
2013-10-16,entry,False,scheduled,2013-10-17
2013-10-21,exit,True,scheduled,2013-10-22
2013-10-23,entry,False,scheduled,2013-10-24
2013-11-18,exit,True,scheduled,2013-11-19
2013-12-11,entry,False,scheduled,2013-12-12
2014-01-22,exit,True,scheduled,2014-01-23
2014-01-23,entry,False,scheduled,2014-01-24
2014-01-24,exit,True,scheduled,2014-01-27
2014-01-27,entry,False,scheduled,2014-01-28
2014-01-29,exit,True,scheduled,2014-01-30
2014-02-24,entry,False,scheduled,2014-02-25
2014-03-21,exit,True,scheduled,2014-03-24
2014-03-31,entry,False,scheduled,2014-04-01
2014-04-01,exit,True,scheduled,2014-04-02
2014-04-21,entry,False,scheduled,2014-04-22
2014-05-23,exit,True,scheduled,2014-05-26
2014-06-04,entry,False,scheduled,2014-06-05
2014-06-05,exit,True,scheduled,2014-06-06
2014-06-06,entry,False,scheduled,2014-06-09
2014-06-10,exit,True,scheduled,2014-06-11
2014-06-19,entry,False,scheduled,2014-06-20
2014-06-30,exit,True,scheduled,2014-07-01
2014-07-09,entry,False,scheduled,2014-07-10
2014-07-14,exit,True,scheduled,2014-07-15
2014-08-26,entry,False,scheduled,2014-08-27
2014-09-01,exit,True,scheduled,2014-09-02
2014-10-17,entry,False,scheduled,2014-10-20
2014-10-20,exit,True,scheduled,2014-10-21
2014-10-21,entry,False,scheduled,2014-10-22
2014-10-29,exit,True,scheduled,2014-10-30
2015-01-19,entry,False,scheduled,2015-01-20
2015-01-21,exit,True,scheduled,2015-01-22
2015-01-29,entry,False,scheduled,2015-01-30
2015-02-16,exit,True,scheduled,2015-02-17
2015-05-06,entry,False,scheduled,2015-05-07
2015-05-11,exit,True,scheduled,2015-05-12
2015-05-15,entry,False,scheduled,2015-05-18
2015-05-19,exit,True,scheduled,2015-05-20
2015-06-18,entry,False,scheduled,2015-06-19
2015-07-21,exit,True,scheduled,2015-07-22
2015-07-27,entry,False,scheduled,2015-07-28
2015-08-10,exit,True,scheduled,2015-08-11
2015-08-18,entry,False,scheduled,2015-08-19
2015-09-21,exit,True,scheduled,2015-09-22
2015-09-23,entry,False,scheduled,2015-09-24
2015-09-24,exit,True,scheduled,2015-09-25
2015-09-25,entry,False,scheduled,2015-09-28
2015-10-08,exit,True,scheduled,2015-10-09
2015-11-03,entry,False,scheduled,2015-11-04
2015-11-04,exit,True,scheduled,2015-11-05
2015-11-27,entry,False,scheduled,2015-11-30
2015-12-17,exit,True,scheduled,2015-12-18
2015-12-28,entry,False,scheduled,2015-12-29
2015-12-29,exit,True,scheduled,2015-12-30
2015-12-31,entry,False,scheduled,2016-01-04
2016-02-16,exit,True,scheduled,2016-02-17
2016-02-25,entry,False,scheduled,2016-02-26
2016-03-02,exit,True,scheduled,2016-03-03
2016-03-10,entry,False,scheduled,2016-03-11
2016-03-14,exit,True,scheduled,2016-03-15
2016-04-20,entry,False,scheduled,2016-04-21
2016-05-31,exit,True,scheduled,2016-06-01
2016-06-13,entry,False,scheduled,2016-06-14
2016-06-15,exit,True,scheduled,2016-06-16
2016-06-24,entry,False,scheduled,2016-06-27
2016-06-27,exit,True,scheduled,2016-06-28
2016-07-27,entry,False,scheduled,2016-07-28
2016-08-09,exit,True,scheduled,2016-08-10
2016-08-11,entry,False,scheduled,2016-08-12
2016-08-12,exit,True,scheduled,2016-08-15
2016-09-01,entry,False,scheduled,2016-09-02
2016-09-06,exit,True,scheduled,2016-09-07
2016-09-09,entry,False,scheduled,2016-09-12
2016-10-10,exit,True,scheduled,2016-10-11
2016-12-05,entry,False,scheduled,2016-12-06
2016-12-09,exit,True,scheduled,2016-12-12
2016-12-12,entry,False,scheduled,2016-12-13
2017-01-04,exit,True,scheduled,2017-01-05
2017-01-12,entry,False,scheduled,2017-01-13
2017-01-23,exit,True,scheduled,2017-01-24
2017-03-09,entry,False,scheduled,2017-03-10
2017-03-13,exit,True,scheduled,2017-03-14
2017-03-17,entry,False,scheduled,2017-03-20
2017-03-20,exit,True,scheduled,2017-03-21
2017-03-29,entry,False,scheduled,2017-03-30
2017-04-05,exit,True,scheduled,2017-04-06
2017-04-14,entry,False,scheduled,2017-04-17
2017-05-25,exit,True,scheduled,2017-05-26
2017-07-17,entry,False,scheduled,2017-07-18
2017-07-19,exit,True,scheduled,2017-07-20
2017-08-11,entry,False,scheduled,2017-08-14
2017-08-17,exit,True,scheduled,2017-08-18
2017-09-19,entry,False,scheduled,2017-09-20
2017-09-20,exit,True,scheduled,2017-09-21
2017-09-21,entry,False,scheduled,2017-09-22
2017-10-09,exit,True,scheduled,2017-10-10
2017-11-02,entry,False,scheduled,2017-11-03
2017-11-06,exit,True,scheduled,2017-11-07
2017-11-16,entry,False,scheduled,2017-11-17
2017-11-21,exit,True,scheduled,2017-11-22
2017-11-23,entry,False,scheduled,2017-11-24
2017-12-26,exit,True,scheduled,2017-12-27
2017-12-27,entry,False,scheduled,2017-12-28
2017-12-28,exit,True,scheduled,2017-12-29
2018-02-01,entry,False,scheduled,2018-02-02
2018-02-05,exit,True,scheduled,2018-02-06
2018-02-06,entry,False,scheduled,2018-02-07
2018-03-08,exit,True,scheduled,2018-03-09
2018-03-16,entry,False,scheduled,2018-03-19
2018-03-19,exit,True,scheduled,2018-03-20
2018-03-21,entry,False,scheduled,2018-03-22
2018-04-11,exit,True,scheduled,2018-04-12
2018-04-12,entry,False,scheduled,2018-04-13
2018-05-07,exit,True,scheduled,2018-05-08
2018-05-25,entry,False,scheduled,2018-05-28
2018-07-20,exit,True,scheduled,2018-07-23
2018-08-01,entry,False,scheduled,2018-08-02
