entry_signal_date,entry_date,exit_signal_date,exit_date,holding_calendar_days,starting_equity,ending_equity,entry_notional,exit_notional,entry_commission,exit_commission,stamp_duty,cash_dividends,bonus_shares,pnl,return,entry_prices,exit_prices,entry_shares,exit_shares
2011-03-15,2011-03-16,2011-03-16,2011-03-17,1,1000000.0,1001109.9544000002,999075.0,1001787.0,299.72249999999997,300.5361,1001.787,0.0,0.0,1109.9544000001624,0.0011099544000001624,"{""sh.601988"": 3.26, ""sh.601398"": 4.26, ""sh.601939"": 4.85, ""sh.601288"": 2.62}","{""sh.601988"": 3.26, ""sh.601398"": 4.29, ""sh.601939"": 4.85, ""sh.601288"": 2.63}","{""sh.601988"": 76600.0, ""sh.601398"": 58600.0, ""sh.601939"": 51500.0, ""sh.601288"": 95400.0}","{""sh.601988"": 76600.0, ""sh.601398"": 58600.0, ""sh.601939"": 51500.0, ""sh.601288"": 95400.0}"
2011-03-17,2011-03-18,2011-03-23,2011-03-24,6,1001109.9544000002,1015405.2524000001,1000007.0,1015923.0,300.0020999999999,304.77689999999996,1015.923,0.0,0.0,14295.297999999952,0.014279448463348483,"{""sh.601988"": 3.26, ""sh.601398"": 4.28, ""sh.601939"": 4.9, ""sh.601288"": 2.63}","{""sh.601988"": 3.28, ""sh.601398"": 4.4, ""sh.601939"": 4.97, ""sh.601288"": 2.67}","{""sh.601988"": 76700.0, ""sh.601398"": 58400.0, ""sh.601939"": 51000.0, ""sh.601288"": 95100.0}","{""sh.601988"": 76700.0, ""sh.601398"": 58400.0, ""sh.601939"": 51000.0, ""sh.601288"": 95100.0}"
2011-03-31,2011-04-01,2011-04-01,2011-04-06,5,1015405.2524000001,1022237.8229000003,1014639.0,1023106.0,304.39169999999996,306.93179999999995,1023.106,0.0,0.0,6832.570500000147,0.0067289099439369286,"{""sh.601988"": 3.34, ""sh.601398"": 4.49, ""sh.601939"": 4.97, ""sh.601288"": 2.76}","{""sh.601988"": 3.36, ""sh.601398"": 4.51, ""sh.601939"": 5.03, ""sh.601288"": 2.79}","{""sh.601988"": 76000.0, ""sh.601398"": 56500.0, ""sh.601939"": 51000.0, ""sh.601288"": 91900.0}","{""sh.601988"": 76000.0, ""sh.601398"": 56500.0, ""sh.601939"": 51000.0, ""sh.601288"": 91900.0}"
2011-04-25,2011-04-26,2011-06-24,2011-06-27,62,1022237.8229000003,1031496.0949000003,1021745.0,995665.0,306.5235,298.6995,995.665,36939.159999999996,0.0,9258.271999999997,0.009056866995720312,"{""sh.601988"": 3.36, ""sh.601398"": 4.49, ""sh.601939"": 5.13, ""sh.601288"": 2.87}","{""sh.601988"": 3.25, ""sh.601398"": 4.47, ""sh.601939"": 4.94, ""sh.601288"": 2.79}","{""sh.601988"": 76000.0, ""sh.601398"": 56900.0, ""sh.601939"": 49800.0, ""sh.601288"": 89000.0}","{""sh.601988"": 76000.0, ""sh.601398"": 56900.0, ""sh.601939"": 49800.0, ""sh.601288"": 89000.0}"
2011-07-21,2011-07-22,2011-08-25,2011-08-26,35,1031496.0949000003,991061.2825,1030812.0,991976.0,309.2436,297.5928,991.976,0.0,0.0,-40434.812400000286,-0.039200160427093324,"{""sh.601988"": 3.09, ""sh.601398"": 4.36, ""sh.601939"": 4.86, ""sh.601288"": 2.7}","{""sh.601988"": 3.0, ""sh.601398"": 4.16, ""sh.601939"": 4.6, ""sh.601288"": 2.64}","{""sh.601988"": 83400.0, ""sh.601398"": 59100.0, ""sh.601939"": 53000.0, ""sh.601288"": 95500.0}","{""sh.601988"": 83400.0, ""sh.601398"": 59100.0, ""sh.601939"": 53000.0, ""sh.601288"": 95500.0}"
2011-08-29,2011-08-30,2011-10-13,2011-10-14,45,991061.2825,984781.2142999998,990113.0,985411.0,297.03389999999996,295.6232999999999,985.4110000000001,0.0,0.0,-6280.0682000002125,-0.006336710262919804,"{""sh.601988"": 2.99, ""sh.601398"": 4.11, ""sh.601939"": 4.54, ""sh.601288"": 2.61}","{""sh.601988"": 2.96, ""sh.601398"": 4.1, ""sh.601939"": 4.58, ""sh.601288"": 2.57}","{""sh.601988"": 82800.0, ""sh.601398"": 60200.0, ""sh.601939"": 54500.0, ""sh.601288"": 94900.0}","{""sh.601988"": 82800.0, ""sh.601398"": 60200.0, ""sh.601939"": 54500.0, ""sh.601288"": 94900.0}"
2011-10-18,2011-10-19,2011-10-25,2011-10-26,7,984781.2142999998,997588.3454999998,983843.0,998243.0,295.1529,299.4729,998.2429999999999,0.0,0.0,12807.131200000062,0.013005052304032426,"{""sh.601988"": 3.0, ""sh.601398"": 4.17, ""sh.601939"": 4.63, ""sh.601288"": 2.6}","{""sh.601988"": 3.01, ""sh.601398"": 4.23, ""sh.601939"": 4.73, ""sh.601288"": 2.65}","{""sh.601988"": 82000.0, ""sh.601398"": 59000.0, ""sh.601939"": 53100.0, ""sh.601288"": 94600.0}","{""sh.601988"": 82000.0, ""sh.601398"": 59000.0, ""sh.601939"": 53100.0, ""sh.601288"": 94600.0}"
2011-11-17,2011-11-18,2012-01-09,2012-01-10,53,997588.3454999998,1006101.1113999998,996923.0,1007044.0,299.07689999999997,302.11319999999995,1007.0440000000001,0.0,0.0,8512.765899999999,0.00853334538078763,"{""sh.601988"": 2.95, ""sh.601398"": 4.28, ""sh.601939"": 4.74, ""sh.601288"": 2.58}","{""sh.601988"": 2.96, ""sh.601398"": 4.29, ""sh.601939"": 4.74, ""sh.601288"": 2.67}","{""sh.601988"": 84500.0, ""sh.601398"": 58200.0, ""sh.601939"": 52600.0, ""sh.601288"": 96600.0}","{""sh.601988"": 84500.0, ""sh.601398"": 58200.0, ""sh.601939"": 52600.0, ""sh.601288"": 96600.0}"
2012-01-16,2012-01-17,2012-01-17,2012-01-18,1,1006101.1113999998,1016898.6507999998,1005195.0,1017617.0,301.5585,305.28509999999994,1017.617,0.0,0.0,10797.539400000009,0.01073206189482797,"{""sh.601988"": 2.97, ""sh.601398"": 4.3, ""sh.601939"": 4.76, ""sh.601288"": 2.65}","{""sh.601988"": 3.0, ""sh.601398"": 4.35, ""sh.601939"": 4.82, ""sh.601288"": 2.69}","{""sh.601988"": 84600.0, ""sh.601398"": 58400.0, ""sh.601939"": 52800.0, ""sh.601288"": 94900.0}","{""sh.601988"": 84600.0, ""sh.601398"": 58400.0, ""sh.601939"": 52800.0, ""sh.601288"": 94900.0}"
2012-03-07,2012-03-08,2012-03-08,2012-03-09,1,1016898.6507999998,1018589.2694999998,1016290.0,1019611.0,304.887,305.88329999999996,1019.6110000000001,0.0,0.0,1690.6186999999918,0.0016625242827001223,"{""sh.601988"": 3.01, ""sh.601398"": 4.33, ""sh.601939"": 4.79, ""sh.601288"": 2.69}","{""sh.601988"": 3.02, ""sh.601398"": 4.34, ""sh.601939"": 4.79, ""sh.601288"": 2.71}","{""sh.601988"": 84400.0, ""sh.601398"": 58700.0, ""sh.601939"": 53000.0, ""sh.601288"": 94500.0}","{""sh.601988"": 84400.0, ""sh.601398"": 58700.0, ""sh.601939"": 53000.0, ""sh.601288"": 94500.0}"
